'de novo' IMP biosynthesis	IMP biosynthesis
DNA replication\, priming	DNA dependent DNA replication
DNA restriction	DNA modification
DNA strand elongation	DNA dependent DNA replication
DNA strand renaturation	double-strand break repair via single-strand annealing
DNA topological change	DNA dependent DNA replication
DNA transposition	DNA recombination
DNA unwinding	DNA dependent DNA replication
DNA-protein complex transport	nucleobase\, nucleoside\, nucleotide and nucleic acid transport
DNA-protein complex transport	protein transport
DNA-protein covalent cross-linking	nucleic acid-protein covalent cross-linking
DNA-protein covalent cross-linking via peptidyl-serine	DNA-protein covalent cross-linking
DNA-protein covalent cross-linking via peptidyl-serine	peptidyl-serine modification
DNA-protein covalent cross-linking via peptidyl-threonine	DNA-protein covalent cross-linking
DNA-protein covalent cross-linking via peptidyl-threonine	peptidyl-threonine modification
DNA-protein covalent cross-linking via peptidyl-tyrosine	peptidyl-tyrosine modification
DNA-protein covalent cross-linking via the 3' end to peptidyl-tyrosine	DNA-protein covalent cross-linking via peptidyl-tyrosine
DNA-protein covalent cross-linking via the 5' end to peptidyl-tyrosine	DNA-protein covalent cross-linking
DNA-protein covalent cross-linking via the 5' end to peptidyl-tyrosine	DNA-protein covalent cross-linking via peptidyl-tyrosine
EGF receptor ligand processing	EGF receptor signaling pathway
EGF receptor signaling pathway	transmembrane receptor protein tyrosine kinase signaling pathway
EOR-mediated NF-kappaB activation	ER-nuclear signaling pathway
ER fusion	membrane fusion
ER insertion by GPI attachment sequence	protein-ER insertion
ER insertion by N-terminal cleaved signal sequence	protein-ER insertion
ER insertion by internal uncleaved signal-anchor sequence	protein-ER insertion
ER insertion by stop-transfer membrane-anchor sequence	protein-ER insertion
ER membrane viral budding	viral assembly\, maturation\, egress\, and release
ER membrane viral budding during viral capsid envelopment	ER membrane viral budding
ER membrane viral budding during viral capsid envelopment	viral capsid envelopment
ER membrane viral budding during viral capsid re-envelopment	ER membrane viral budding
ER membrane viral budding during viral capsid re-envelopment	viral capsid re-envelopment
ER organization and biogenesis	organelle organization and biogenesis
ER to Golgi transport	Golgi vesicle transport
ER to Golgi transport	intracellular transport
ER to Golgi transport	secretory pathway
ER to Golgi transport	vesicle-mediated transport
ER-associated protein catabolism	misfolded or incompletely synthesized protein catabolism
ER-associated protein catabolism	ubiquitin-dependent protein catabolism
ER-nuclear signaling pathway	response to ER-overload
Embden-Meyerhof pathway	glycolysis
Entner-Doudoroff pathway	main pathways of carbohydrate metabolism
Eph receptor signaling pathway	transmembrane receptor protein tyrosine kinase signaling pathway
FAD biosynthesis	FAD metabolism
FAD biosynthesis	FADH2 metabolism
FAD biosynthesis	coenzyme biosynthesis
FAD biosynthesis	vitamin B2 and derivative biosynthesis
FAD metabolism	coenzyme metabolism
FAD metabolism	vitamin B2 and derivative metabolism
FADH2 metabolism	oxidoreduction coenzyme metabolism
FGF receptor signaling pathway	transmembrane receptor protein tyrosine kinase signaling pathway
FMN biosynthesis	FADH2 metabolism
FMN biosynthesis	FMN metabolism
FMN biosynthesis	coenzyme biosynthesis
FMN biosynthesis	vitamin B2 and derivative biosynthesis
FMN metabolism	coenzyme metabolism
FMN metabolism	vitamin B2 and derivative metabolism
FasL biosynthesis	glycoprotein biosynthesis
G-protein coupled receptor protein signaling pathway	cell surface receptor linked signal transduction
G-protein dissociation	G-protein signaling\, coupled to IP3 second messenger (phospholipase C activating)
G-protein signaling\, adenylate cyclase activating pathway	G-protein signaling\, coupled to cAMP nucleotide second messenger
G-protein signaling\, adenylate cyclase inhibiting pathway	G-protein signaling\, coupled to cAMP nucleotide second messenger
G-protein signaling\, coupled to IP3 second messenger (phospholipase C activating)	G-protein coupled receptor protein signaling pathway
G-protein signaling\, coupled to cAMP nucleotide second messenger	G-protein signaling\, coupled to cyclic nucleotide second messenger
G-protein signaling\, coupled to cAMP nucleotide second messenger	cAMP-mediated signaling
G-protein signaling\, coupled to cGMP nucleotide second messenger	G-protein signaling\, coupled to cyclic nucleotide second messenger
G-protein signaling\, coupled to cGMP nucleotide second messenger	cGMP-mediated signaling
G-protein signaling\, coupled to cyclic nucleotide second messenger	G-protein coupled receptor protein signaling pathway
G-protein signaling\, coupled to cyclic nucleotide second messenger	cyclic-nucleotide-mediated signaling
G0 to G1 transition	re-entry into mitotic cell cycle
G1 phase of mitotic cell cycle	mitotic cell cycle
G1-specific transcription in mitotic cell cycle	G1 phase of mitotic cell cycle
G1-specific transcription in mitotic cell cycle	regulation of transcription from Pol II promoter
G1/S transition of mitotic cell cycle	mitotic cell cycle
G1/S-specific transcription in mitotic cell cycle	G1/S transition of mitotic cell cycle
G1/S-specific transcription in mitotic cell cycle	regulation of transcription from Pol II promoter
G2 phase of mitotic cell cycle	mitotic cell cycle
G2-specific transcription in mitotic cell cycle	G2 phase of mitotic cell cycle
G2-specific transcription in mitotic cell cycle	regulation of transcription from Pol II promoter
G2/M transition of mitotic cell cycle	mitotic cell cycle
G2/M-specific transcription in mitotic cell cycle	G2/M transition of mitotic cell cycle
G2/M-specific transcription in mitotic cell cycle	regulation of transcription from Pol II promoter
GDP biosynthesis	GDP metabolism
GDP biosynthesis	purine ribonucleoside diphosphate biosynthesis
GDP catabolism	GDP metabolism
GDP catabolism	purine ribonucleoside diphosphate catabolism
GDP metabolism	purine ribonucleoside diphosphate metabolism
GDP-D-rhamnose biosynthesis	GDP-D-rhamnose metabolism
GDP-D-rhamnose biosynthesis	fructose 6-phosphate metabolism
GDP-D-rhamnose biosynthesis	rhamnose biosynthesis
GDP-D-rhamnose metabolism	nucleotide-sugar metabolism
GDP-D-rhamnose metabolism	rhamnose metabolism
GDP-L-fucose biosynthesis	GDP-L-fucose metabolism
GDP-L-fucose biosynthesis	L-fucose biosynthesis
GDP-L-fucose biosynthesis	nucleotide-sugar biosynthesis
GDP-L-fucose biosynthesis\, de novo pathway	GDP-L-fucose biosynthesis
GDP-L-fucose biosynthesis\, salvage pathway	GDP-L-fucose biosynthesis
GDP-L-fucose metabolism	L-fucose metabolism
GDP-L-fucose metabolism	nucleotide-sugar metabolism
GDP-alpha-D-mannosylchitobiosyldiphosphodolichol biosynthesis	GDP-alpha-D-mannosylchitobiosyldiphosphodolichol metabolism
GDP-alpha-D-mannosylchitobiosyldiphosphodolichol biosynthesis	dolichol biosynthesis
GDP-alpha-D-mannosylchitobiosyldiphosphodolichol biosynthesis	polysaccharide biosynthesis
GDP-alpha-D-mannosylchitobiosyldiphosphodolichol metabolism	dolichol metabolism
GDP-alpha-D-mannosylchitobiosyldiphosphodolichol metabolism	polysaccharide metabolism
GDP-fucose transport	pyrimidine nucleotide-sugar transport
GDP-mannose biosynthesis	GDP-mannose metabolism
GDP-mannose biosynthesis	mannose biosynthesis
GDP-mannose biosynthesis	nucleotide-sugar biosynthesis
GDP-mannose metabolism	mannose metabolism
GDP-mannose metabolism	nucleotide-sugar metabolism
GDP-mannose transport	pyrimidine nucleotide-sugar transport
GMP biosynthesis	GMP metabolism
GMP biosynthesis	purine ribonucleoside monophosphate biosynthesis
GMP catabolism	GMP metabolism
GMP catabolism	purine ribonucleoside monophosphate catabolism
GMP catabolism to IMP	GMP catabolism
GMP catabolism to IMP	IMP metabolism
GMP catabolism to guanine	GMP catabolism
GMP catabolism to guanine	guanine metabolism
GMP metabolism	purine ribonucleoside monophosphate metabolism
GPI anchor biosynthesis	GPI anchor metabolism
GPI anchor biosynthesis	phosphoinositide biosynthesis
GPI anchor biosynthesis	protein lipidation
GPI anchor biosynthesis via N-alanyl-glycosylphosphatidylinositolethanolamine	GPI anchor biosynthesis
GPI anchor biosynthesis via N-alanyl-glycosylphosphatidylinositolethanolamine	peptidyl-alanine modification
GPI anchor biosynthesis via N-asparaginyl-glycosylphosphatidylinositolethanolamine	GPI anchor biosynthesis
GPI anchor biosynthesis via N-asparaginyl-glycosylphosphatidylinositolethanolamine	peptidyl-asparagine modification
GPI anchor biosynthesis via N-aspartyl-glycosylphosphatidylinositolethanolamine	GPI anchor biosynthesis
GPI anchor biosynthesis via N-aspartyl-glycosylphosphatidylinositolethanolamine	peptidyl-aspartic acid modification
GPI anchor biosynthesis via N-cysteinyl-glycosylphosphatidylinositolethanolamine	GPI anchor biosynthesis
GPI anchor biosynthesis via N-cysteinyl-glycosylphosphatidylinositolethanolamine	peptidyl-cysteine modification
GPI anchor biosynthesis via N-glycyl-glycosylphosphatidylinositolethanolamine	GPI anchor biosynthesis
GPI anchor biosynthesis via N-glycyl-glycosylphosphatidylinositolethanolamine	peptidyl-glycine modification
GPI anchor biosynthesis via N-seryl-glycosylphosphatidylinositolethanolamine	GPI anchor biosynthesis
GPI anchor biosynthesis via N-seryl-glycosylphosphatidylinositolethanolamine	peptidyl-serine modification
GPI anchor metabolism	phosphoinositide metabolism
GPI anchor release	GPI anchor metabolism
GSI anchor biosynthesis	GSI anchor metabolism
GSI anchor biosynthesis	glycosphingolipid biosynthesis
GSI anchor biosynthesis	protein lipidation
GSI anchor biosynthesis via N-seryl-glycosylsphingolipidinositolethanolamine	GSI anchor biosynthesis
GSI anchor biosynthesis via N-seryl-glycosylsphingolipidinositolethanolamine	peptidyl-serine modification
GSI anchor metabolism	glycosphingolipid metabolism
GTP biosynthesis	GTP metabolism
GTP biosynthesis	purine ribonucleoside triphosphate biosynthesis
GTP catabolism	GTP metabolism
GTP catabolism	purine ribonucleoside triphosphate catabolism
GTP metabolism	purine ribonucleoside triphosphate metabolism
GTP synthesis coupled proton transport	energy coupled proton transport\, down the electrochemical gradient
Golgi membrane coating with cytosolic coat proteins	Golgi vesicle budding
Golgi membrane viral budding	viral assembly\, maturation\, egress\, and release
Golgi membrane viral budding during viral capsid envelopment	Golgi membrane viral budding
Golgi membrane viral budding during viral capsid envelopment	viral capsid envelopment
Golgi membrane viral budding during viral capsid re-envelopment	Golgi membrane viral budding
Golgi membrane viral budding during viral capsid re-envelopment	viral capsid re-envelopment
Golgi organization and biogenesis	organelle organization and biogenesis
Golgi to endosome transport	endosome transport
Golgi to endosome transport	post-Golgi transport
Golgi to plasma membrane transport	post-Golgi transport
Golgi to secretory vesicle transport	intracellular transport
Golgi to secretory vesicle transport	post-Golgi transport
Golgi to vacuole transport	Golgi vesicle transport
Golgi to vacuole transport	post-Golgi transport
Golgi to vacuole transport	vacuolar transport
Golgi transport vesicle coating	Golgi vesicle targeting
Golgi vesicle bud deformation and release	Golgi vesicle budding
Golgi vesicle budding	Golgi vesicle transport
Golgi vesicle coat depolymerization	Golgi vesicle fusion to target membrane
Golgi vesicle docking with target membrane	Golgi vesicle fusion to target membrane
Golgi vesicle fusion to target membrane	Golgi vesicle transport
Golgi vesicle prefusion complex stabilization	Golgi vesicle fusion to target membrane
Golgi vesicle targeting	Golgi vesicle budding
Golgi vesicle transport	intracellular transport
HGF receptor signaling pathway	transmembrane receptor protein tyrosine kinase signaling pathway
I-kappaB phosphorylation	NIK-I-kappaB/NF-kappaB cascade
I-kappaB phosphorylation	protein amino acid phosphorylation
IDP biosynthesis	IDP metabolism
IDP biosynthesis	purine ribonucleoside diphosphate biosynthesis
IDP catabolism	IDP metabolism
IDP catabolism	purine ribonucleoside diphosphate catabolism
IDP metabolism	purine ribonucleoside diphosphate metabolism
IDP phosphorylation	IDP metabolism
IDP phosphorylation	nucleoside diphosphate phosphorylation
IDP phosphorylation	purine ribonucleoside triphosphate biosynthesis
IGF receptor signaling pathway	transmembrane receptor protein tyrosine kinase signaling pathway
IMP biosynthesis	IMP metabolism
IMP biosynthesis	purine ribonucleoside monophosphate biosynthesis
IMP catabolism	IMP metabolism
IMP catabolism	purine ribonucleoside monophosphate catabolism
IMP metabolism	purine ribonucleoside monophosphate metabolism
ITP biosynthesis	ITP metabolism
ITP biosynthesis	purine ribonucleoside triphosphate biosynthesis
ITP catabolism	ITP metabolism
ITP catabolism	purine ribonucleoside triphosphate catabolism
ITP metabolism	purine ribonucleoside triphosphate metabolism
JAK-STAT cascade	protein kinase cascade
JNK cascade	protein kinase cascade
JUN phosphorylation	JNK cascade
JUN phosphorylation	protein amino acid phosphorylation
K antigen biosynthesis	K antigen metabolism
K antigen biosynthesis	polysaccharide biosynthesis
K antigen metabolism	polysaccharide metabolism
L(+)-lactate biosynthesis from pyruvate	lactate biosynthesis from pyruvate
L-amino acid racemization	amino acid metabolism
L-amino acid transport	amino acid transport
L-arabinose catabolism	L-arabinose metabolism
L-arabinose catabolism	arabinose catabolism
L-arabinose catabolism to 2-oxoglutarate	2-oxoglutarate metabolism
L-arabinose catabolism to 2-oxoglutarate	L-arabinose catabolism
L-arabinose catabolism to xylulose 5-phosphate	L-arabinose catabolism
L-arabinose metabolism	arabinose metabolism
L-arabitol utilization	arabitol utilization
L-ascorbate transport	vitamin/cofactor transport
L-ascorbic acid biosynthesis	L-ascorbic acid metabolism
L-ascorbic acid biosynthesis	water-soluble vitamin biosynthesis
L-ascorbic acid catabolism	L-ascorbic acid metabolism
L-ascorbic acid catabolism	water-soluble vitamin catabolism
L-ascorbic acid metabolism	carboxylic acid metabolism
L-ascorbic acid metabolism	water-soluble vitamin metabolism
L-cysteine catabolism	L-cysteine metabolism
L-cysteine catabolism	cysteine catabolism
L-cysteine catabolism to hypotaurine	L-cysteine catabolism
L-cysteine catabolism to pyruvate	L-cysteine catabolism
L-cysteine catabolism to pyruvate	pyruvate metabolism
L-cysteine catabolism to pyruvate\, using cysteine dioxygenase	L-cysteine catabolism to pyruvate
L-cysteine catabolism to taurine	L-cysteine catabolism
L-cysteine catabolism to taurine	taurine metabolism
