mitochondrion inheritance	GO:0000001
nucleotide-excision repair\, DNA gap filling	GO:0006297
mismatch repair	GO:0006298
short patch mismatch repair system	GO:0006299
long patch mismatch repair system	GO:0006300
postreplication repair	GO:0006301
double-strand break repair	GO:0006302
double-strand break repair via nonhomologous end-joining	GO:0006303
DNA modification	GO:0006304
DNA alkylation	GO:0006305
DNA methylation	GO:0006306
DNA dealkylation	GO:0006307
DNA catabolism	GO:0006308
DNA fragmentation	GO:0006309
DNA recombination	GO:0006310
meiotic gene conversion	GO:0006311
mitotic recombination	GO:0006312
DNA transposition	GO:0006313
intron homing	GO:0006314
homing of group II introns	GO:0006315
movement of group I intron	GO:0006316
P-element transposition	GO:0006317
P-element excision	GO:0006318
Ty element transposition	GO:0006319
Ty1 element transposition	GO:0006320
Ty2 element transposition	GO:0006321
Ty3 element transposition	GO:0006322
DNA packaging	GO:0006323
S-phase regulated histone modification	GO:0006324
establishment and/or maintenance of chromatin architecture	GO:0006325
chromatin assembly/disassembly	GO:0006333
nucleosome assembly	GO:0006334
DNA replication dependent nucleosome assembly	GO:0006335
DNA replication independent nucleosome assembly	GO:0006336
nucleosome disassembly	GO:0006337
chromatin modeling	GO:0006338
chromatin insulator sequence binding	GO:0006341
chromatin silencing	GO:0006342
establishment of chromatin silencing	GO:0006343
maintenance of chromatin silencing	GO:0006344
loss of chromatin silencing	GO:0006345
methylation-dependent chromatin silencing	GO:0006346
chromatin silencing at HML and HMR (sensu Saccharomyces)	GO:0006347
chromatin silencing at telomere	GO:0006348
imprinting	GO:0006349
transcription	GO:0006350
transcription\, DNA-dependent	GO:0006351
transcription initiation	GO:0006352
transcription termination	GO:0006353
RNA elongation	GO:0006354
regulation of transcription\, DNA-dependent	GO:0006355
regulation of transcription from Pol I promoter	GO:0006356
regulation of transcription from Pol II promoter	GO:0006357
regulation of global transcription from Pol II promoter	GO:0006358
regulation of transcription from Pol III promoter	GO:0006359
transcription from Pol I promoter	GO:0006360
transcription initiation from Pol I promoter	GO:0006361
RNA elongation from Pol I promoter	GO:0006362
transcription termination from Pol I promoter	GO:0006363
rRNA processing	GO:0006364
35S primary transcript processing	GO:0006365
transcription from Pol II promoter	GO:0006366
transcription initiation from Pol II promoter	GO:0006367
RNA elongation from Pol II promoter	GO:0006368
transcription termination from Pol II promoter	GO:0006369
mRNA capping	GO:0006370
mRNA splicing	GO:0006371
lariat formation\, 5'-splice site cleavage	GO:0006372
3'-splice site cleavage\, exon ligation	GO:0006373
splicing GT-AG intron	GO:0006374
splicing AT-AC intron	GO:0006375
mRNA splice site selection	GO:0006376
MATa1 (A1) pre-mRNA splicing	GO:0006377
mRNA polyadenylation	GO:0006378
mRNA cleavage	GO:0006379
mRNA editing	GO:0006381
adenosine to inosine editing	GO:0006382
transcription from Pol III promoter	GO:0006383
transcription initiation from Pol III promoter	GO:0006384
RNA elongation from Pol III promoter	GO:0006385
transcription termination from Pol III promoter	GO:0006386
snRNA capping	GO:0006387
tRNA splicing	GO:0006388
tRNA-Y splicing	GO:0006389
transcription from mitochondrial promoter	GO:0006390
transcription initiation from mitochondrial promoter	GO:0006391
RNA elongation from mitochondrial promoter	GO:0006392
RNA transcription termination from mitochondrial promoter	GO:0006393
RNA processing	GO:0006396
mRNA processing	GO:0006397
histone mRNA 3'-end processing	GO:0006398
tRNA metabolism	GO:0006399
tRNA modification	GO:0006400
RNA catabolism	GO:0006401
mRNA catabolism	GO:0006402
RNA localization	GO:0006403
RNA-nucleus import	GO:0006404
RNA-nucleus export	GO:0006405
mRNA-nucleus export	GO:0006406
rRNA-nucleus export	GO:0006407
snRNA-nucleus export	GO:0006408
tRNA-nucleus export	GO:0006409
transcription\, RNA-dependent	GO:0006410
protein biosynthesis	GO:0006412
translational initiation	GO:0006413
translational elongation	GO:0006414
translational termination	GO:0006415
regulation of protein biosynthesis	GO:0006417
amino acid activation	GO:0006418
alanyl-tRNA aminoacylation	GO:0006419
arginyl-tRNA aminoacylation	GO:0006420
asparaginyl-tRNA aminoacylation	GO:0006421
aspartyl-tRNA aminoacylation	GO:0006422
cysteinyl-tRNA aminoacylation	GO:0006423
glutamyl-tRNA aminoacylation	GO:0006424
glutaminyl-tRNA aminoacylation	GO:0006425
glycyl-tRNA aminoacylation	GO:0006426
histidyl-tRNA aminoacylation	GO:0006427
isoleucyl-tRNA aminoacylation	GO:0006428
leucyl-tRNA aminoacylation	GO:0006429
lysyl-tRNA aminoacylation	GO:0006430
methionyl-tRNA aminoacylation	GO:0006431
phenylalanyl-tRNA aminoacylation	GO:0006432
prolyl-tRNA aminoacylation	GO:0006433
seryl-tRNA aminoacylation	GO:0006434
threonyl-tRNA aminoacylation	GO:0006435
tryptophanyl-tRNA aminoacylation	GO:0006436
tyrosyl-tRNA aminoacylation	GO:0006437
valyl-tRNA aminoacylation	GO:0006438
nascent polypeptide association	GO:0006444
regulation of translation	GO:0006445
regulation of translational initiation	GO:0006446
regulation of translational initiation by iron	GO:0006447
regulation of translational elongation	GO:0006448
regulation of translational termination	GO:0006449
regulation of translational fidelity	GO:0006450
translational readthrough	GO:0006451
translational frameshifting	GO:0006452
protein folding	GO:0006457
'de novo' protein folding	GO:0006458
binding unfolded ER proteins	GO:0006459
protein complex assembly	GO:0006461
protein complex assembly\, multichaperone pathway	GO:0006462
steroid hormone receptor complex assembly	GO:0006463
protein modification	GO:0006464
signal peptide processing	GO:0006465
protein thiol-disulfide exchange	GO:0006467
protein amino acid phosphorylation	GO:0006468
negative regulation of protein kinase activity	GO:0006469
protein amino acid dephosphorylation	GO:0006470
protein amino acid ADP-ribosylation	GO:0006471
protein amino acid acetylation	GO:0006473
N-terminal protein amino acid acetylation	GO:0006474
internal protein amino acid acetylation	GO:0006475
protein amino acid deacetylation	GO:0006476
protein amino acid sulfation	GO:0006477
peptidyl-tyrosine sulfation	GO:0006478
protein amino acid methylation	GO:0006479
N-terminal protein amino acid methylation	GO:0006480
C-terminal protein amino acid methylation	GO:0006481
protein amino acid demethylation	GO:0006482
protein cysteine-thiol oxidation	GO:0006484
protein amino acid glycosylation	GO:0006486
N-linked glycosylation	GO:0006487
dolichol-linked oligosaccharide biosynthesis	GO:0006488
dolichyl diphosphate biosynthesis	GO:0006489
oligosaccharide-lipid intermediate assembly	GO:0006490
N-glycan processing	GO:0006491
N-linked glycoprotein maturation	GO:0006492
O-linked glycosylation	GO:0006493
terminal glycosylation	GO:0006494
terminal N-glycosylation	GO:0006496
protein lipidation	GO:0006497
N-terminal protein lipidation	GO:0006498
N-terminal protein myristoylation	GO:0006499
N-terminal protein palmitoylation	GO:0006500
C-terminal protein lipidation	GO:0006501
GPI anchor metabolism	GO:0006505
GPI anchor biosynthesis	GO:0006506
GPI anchor release	GO:0006507
proteolysis and peptidolysis	GO:0006508
membrane protein ectodomain proteolysis	GO:0006509
ATP-dependent proteolysis	GO:0006510
ubiquitin-dependent protein catabolism	GO:0006511
ubiquitin cycle	GO:0006512
protein monoubiquitination	GO:0006513
misfolded or incompletely synthesized protein catabolism	GO:0006515
glycoprotein catabolism	GO:0006516
protein deglycosylation	GO:0006517
peptide metabolism	GO:0006518
amino acid and derivative metabolism	GO:0006519
amino acid metabolism	GO:0006520
regulation of amino acid metabolism	GO:0006521
alanine metabolism	GO:0006522
alanine biosynthesis	GO:0006523
alanine catabolism	GO:0006524
arginine metabolism	GO:0006525
arginine biosynthesis	GO:0006526
arginine catabolism	GO:0006527
asparagine metabolism	GO:0006528
asparagine biosynthesis	GO:0006529
asparagine catabolism	GO:0006530
aspartate metabolism	GO:0006531
aspartate biosynthesis	GO:0006532
aspartate catabolism	GO:0006533
cysteine metabolism	GO:0006534
cysteine biosynthesis from serine	GO:0006535
glutamate metabolism	GO:0006536
glutamate biosynthesis	GO:0006537
glutamate catabolism	GO:0006538
glutamate catabolism via 2-oxoglutarate	GO:0006539
glutamate decarboxylation to succinate	GO:0006540
glutamine metabolism	GO:0006541
glutamine biosynthesis	GO:0006542
glutamine catabolism	GO:0006543
glycine metabolism	GO:0006544
glycine biosynthesis	GO:0006545
glycine catabolism	GO:0006546
histidine metabolism	GO:0006547
histidine catabolism	GO:0006548
isoleucine metabolism	GO:0006549
isoleucine catabolism	GO:0006550
leucine metabolism	GO:0006551
leucine catabolism	GO:0006552
lysine metabolism	GO:0006553
lysine catabolism	GO:0006554
methionine metabolism	GO:0006555
S-adenosylmethionine biosynthesis	GO:0006556
S-adenosylmethioninamine biosynthesis	GO:0006557
phenylalanine metabolism	GO:0006558
phenylalanine catabolism	GO:0006559
proline metabolism	GO:0006560
proline biosynthesis	GO:0006561
proline catabolism	GO:0006562
serine metabolism	GO:0006563
serine biosynthesis	GO:0006564
serine catabolism	GO:0006565
threonine metabolism	GO:0006566
threonine catabolism	GO:0006567
tryptophan metabolism	GO:0006568
tryptophan catabolism	GO:0006569
tyrosine metabolism	GO:0006570
tyrosine biosynthesis	GO:0006571
tyrosine catabolism	GO:0006572
valine metabolism	GO:0006573
valine catabolism	GO:0006574
amino acid derivative metabolism	GO:0006575
biogenic amine metabolism	GO:0006576
betaine metabolism	GO:0006577
betaine biosynthesis	GO:0006578
betaine catabolism	GO:0006579
ethanolamine metabolism	GO:0006580
acetylcholine catabolism	GO:0006581
melanin metabolism	GO:0006582
melanin biosynthesis from tyrosine	GO:0006583
catecholamine metabolism	GO:0006584
dopamine biosynthesis from tyrosine	GO:0006585
indolalkylamine metabolism	GO:0006586
serotonin biosynthesis from tryptophan	GO:0006587
tryptophan hydroxylase activation	GO:0006588
octopamine biosynthesis	GO:0006589
thyroid hormone generation	GO:0006590
ornithine metabolism	GO:0006591
ornithine biosynthesis	GO:0006592
ornithine catabolism	GO:0006593
polyamine metabolism	GO:0006595
polyamine biosynthesis	GO:0006596
spermine biosynthesis	GO:0006597
polyamine catabolism	GO:0006598
phosphagen metabolism	GO:0006599
creatine metabolism	GO:0006600
creatine biosynthesis	GO:0006601
creatinine catabolism	GO:0006602
phosphocreatine metabolism	GO:0006603
phosphoarginine metabolism	GO:0006604
protein targeting	GO:0006605
protein-nucleus import	GO:0006606
NLS-bearing substrate-nucleus import	GO:0006607
snRNP protein-nucleus import	GO:0006608
mRNA-binding (hnRNP) protein-nucleus import	GO:0006609
ribosomal protein-nucleus import	GO:0006610
protein-nucleus export	GO:0006611
protein-membrane targeting	GO:0006612
cotranslational membrane targeting	GO:0006613
SRP-dependent cotranslational membrane targeting	GO:0006614
SRP-dependent cotranslational membrane targeting\, docking	GO:0006615
SRP-dependent cotranslational membrane targeting\, translocation	GO:0006616
SRP-dependent cotranslational membrane targeting\, signal sequence recognition	GO:0006617
SRP-dependent cotranslational membrane targeting\, signal sequence processing	GO:0006618
SRP-independent cotranslational membrane targeting	GO:0006619
posttranslational membrane targeting	GO:0006620
protein-ER retention	GO:0006621
protein-lysosome targeting	GO:0006622
protein-vacuolar targeting	GO:0006623
vacuolar protein processing/maturation	GO:0006624
protein-peroxisome targeting	GO:0006625
protein-mitochondrial targeting	GO:0006626
mitochondrial processing	GO:0006627
mitochondrial translocation	GO:0006628
lipid metabolism	GO:0006629
fatty acid metabolism	GO:0006631
fatty acid biosynthesis	GO:0006633
hexadecanal biosynthesis	GO:0006634
fatty acid beta-oxidation	GO:0006635
fatty acid desaturation	GO:0006636
acyl-CoA metabolism	GO:0006637
neutral lipid metabolism	GO:0006638
acylglycerol metabolism	GO:0006639
monoacylglycerol biosynthesis	GO:0006640
triacylglycerol metabolism	GO:0006641
triacylglycerol mobilization	GO:0006642
membrane lipid metabolism	GO:0006643
phospholipid metabolism	GO:0006644
phosphatidylethanolamine biosynthesis	GO:0006646
phosphatidyl-N-monomethylethanolamine biosynthesis	GO:0006647
dihydrosphingosine-1-P pathway	GO:0006648
phospholipid transfer to membrane	GO:0006649
glycerophospholipid metabolism	GO:0006650
diacylglycerol biosynthesis	GO:0006651
alpha-glycerophosphate pathway	GO:0006652
lecithin metabolism	GO:0006653
phosphatidic acid biosynthesis	GO:0006654
phosphatidylglycerol biosynthesis	GO:0006655
phosphatidylcholine biosynthesis	GO:0006656
CDP-choline pathway	GO:0006657
phosphatidylserine metabolism	GO:0006658
phosphatidylserine biosynthesis	GO:0006659
phosphatidylserine catabolism	GO:0006660
phosphatidylinositol biosynthesis	GO:0006661
glycerol ether metabolism	GO:0006662
platelet activating factor biosynthesis	GO:0006663
glycolipid metabolism	GO:0006664
sphingolipid metabolism	GO:0006665
3-keto-sphinganine metabolism	GO:0006666
sphinganine metabolism	GO:0006667
sphinganine-1-phosphate metabolism	GO:0006668
sphinganine-1-phosphate biosynthesis	GO:0006669
sphingosine metabolism	GO:0006670
phytosphingosine metabolism	GO:0006671
ceramide metabolism	GO:0006672
inositolphosphoceramide metabolism	GO:0006673
inositol phosphorylceramide metabolism	GO:0006674
mannose inositol phosphoceramide metabolism	GO:0006675
mannosyl diphosphorylinositol ceramide metabolism	GO:0006676
glycosylceramide metabolism	GO:0006677
glucosylceramide metabolism	GO:0006678
glucosylceramide biosynthesis	GO:0006679
glucosylceramide catabolism	GO:0006680
galactosylceramide metabolism	GO:0006681
galactosylceramide biosynthesis	GO:0006682
galactosylceramide catabolism	GO:0006683
sphingomyelin metabolism	GO:0006684
sphingomyelin catabolism	GO:0006685
sphingomyelin biosynthesis	GO:0006686
glycosphingolipid metabolism	GO:0006687
glycosphingolipid biosynthesis	GO:0006688
ganglioside catabolism	GO:0006689
eicosanoid metabolism	GO:0006690
leukotriene metabolism	GO:0006691
prostanoid metabolism	GO:0006692
prostaglandin metabolism	GO:0006693
steroid biosynthesis	GO:0006694
cholesterol biosynthesis	GO:0006695
ergosterol biosynthesis	GO:0006696
ecdysone biosynthesis	GO:0006697
ecdysone modification	GO:0006698
bile acid biosynthesis	GO:0006699
C21-steroid hormone biosynthesis	GO:0006700
progesterone biosynthesis	GO:0006701
androgen biosynthesis	GO:0006702
estrogen biosynthesis	GO:0006703
glucocorticoid biosynthesis	GO:0006704
mineralocorticoid biosynthesis	GO:0006705
steroid catabolism	GO:0006706
cholesterol catabolism	GO:0006707
ecdysone catabolism	GO:0006708
progesterone catabolism	GO:0006709
androgen catabolism	GO:0006710
estrogen catabolism	GO:0006711
mineralocorticoid catabolism	GO:0006712
glucocorticoid catabolism	GO:0006713
sesquiterpenoid metabolism	GO:0006714
farnesol biosynthesis	GO:0006715
juvenile hormone metabolism	GO:0006716
juvenile hormone biosynthesis	GO:0006718
juvenile hormone catabolism	GO:0006719
isoprenoid metabolism	GO:0006720
terpenoid metabolism	GO:0006721
triterpenoid metabolism	GO:0006722
cuticle hydrocarbon biosynthesis	GO:0006723
aromatic compound metabolism	GO:0006725
eye pigment biosynthesis	GO:0006726
ommochrome biosynthesis	GO:0006727
pteridine biosynthesis	GO:0006728
tetrahydrobiopterin biosynthesis	GO:0006729
one-carbon compound metabolism	GO:0006730
coenzymes and prosthetic group metabolism	GO:0006731
coenzyme metabolism	GO:0006732
