ribosomal chaperone activity	GO:0000005
dihydrouracil dehydrogenase (NAD+) activity	GO:0004159
dihydroxy-acid dehydratase activity	GO:0004160
dimethylallyltransferase activity	GO:0004161
dimethylnitrosamine demethylase activity	GO:0004162
diphosphomevalonate decarboxylase activity	GO:0004163
diphthine synthase activity	GO:0004164
dodecenoyl-CoA delta-isomerase activity	GO:0004165
dolichyl-phosphate alpha-N-acetylglucosaminyltransferase activity	GO:0004166
dopachrome delta-isomerase activity	GO:0004167
dolichol kinase activity	GO:0004168
dolichyl-phosphate-mannose-protein mannosyltransferase activity	GO:0004169
dUTP pyrophosphatase activity	GO:0004170
deoxyhypusine synthase activity	GO:0004171
ecdysteroid UDP-glucosyl/UDP-glucuronosyl transferase activity	GO:0004172
ecdysone O-acyltransferase activity	GO:0004173
electron-transferring-flavoprotein dehydrogenase activity	GO:0004174
endopeptidase activity	GO:0004175
ATP-dependent peptidase activity	GO:0004176
aminopeptidase activity	GO:0004177
leucyl aminopeptidase activity	GO:0004178
membrane alanyl aminopeptidase activity	GO:0004179
carboxypeptidase activity	GO:0004180
metallocarboxypeptidase activity	GO:0004181
carboxypeptidase A activity	GO:0004182
carboxypeptidase E activity	GO:0004183
lysine carboxypeptidase activity	GO:0004184
serine carboxypeptidase activity	GO:0004185
carboxypeptidase C activity	GO:0004186
carboxypeptidase D activity	GO:0004187
lysosomal pro-X carboxypeptidase activity	GO:0004188
tubulinyl-tyrosine carboxypeptidase activity	GO:0004189
aspartic-type endopeptidase activity	GO:0004190
barrierpepsin activity	GO:0004191
cathepsin D activity	GO:0004192
cathepsin E activity	GO:0004193
pepsin A activity	GO:0004194
renin activity	GO:0004195
saccharopepsin activity	GO:0004196
cysteine-type endopeptidase activity	GO:0004197
calpain activity	GO:0004198
cathepsin B activity	GO:0004213
dipeptidyl-peptidase I activity	GO:0004214
cathepsin H activity	GO:0004215
cathepsin K activity	GO:0004216
cathepsin L activity	GO:0004217
cathepsin S activity	GO:0004218
pyroglutamyl-peptidase I activity	GO:0004219
ubiquitin C-terminal hydrolase activity	GO:0004221
metalloendopeptidase activity	GO:0004222
Gly-X carboxypeptidase activity	GO:0004226
gelatinase A activity	GO:0004228
gelatinase B activity	GO:0004229
glutamyl aminopeptidase activity	GO:0004230
insulysin activity	GO:0004231
interstitial collagenase activity	GO:0004232
macrophage elastase activity	GO:0004234
matrilysin activity	GO:0004235
membrane dipeptidase activity	GO:0004237
meprin A activity	GO:0004238
methionyl aminopeptidase activity	GO:0004239
mitochondrial processing peptidase activity	GO:0004240
mitochondrial intermediate peptidase activity	GO:0004243
mitochondrial inner membrane peptidase activity	GO:0004244
neprilysin activity	GO:0004245
peptidyl-dipeptidase A activity	GO:0004246
saccharolysin activity	GO:0004247
stromelysin 1 activity	GO:0004248
stromelysin 3 activity	GO:0004249
aminopeptidase I activity	GO:0004250
Xaa-Pro dipeptidase activity	GO:0004251
serine-type endopeptidase activity	GO:0004252
gamma-renin activity	GO:0004253
acylaminoacyl-peptidase activity	GO:0004254
cathepsin G activity	GO:0004261
cerevisin activity	GO:0004262
chymotrypsin activity	GO:0004263
dipeptidyl-peptidase IV activity	GO:0004274
enteropeptidase activity	GO:0004275
furin activity	GO:0004276
granzyme A activity	GO:0004277
granzyme B activity	GO:0004278
kininogenase activity	GO:0004279
pancreatic elastase II activity	GO:0004281
plasmin activity	GO:0004283
acrosin activity	GO:0004284
proprotein convertase 1 activity	GO:0004285
proprotein convertase 2 activity	GO:0004286
prolyl oligopeptidase activity	GO:0004287
subtilase activity	GO:0004289
kexin activity	GO:0004290
subtilisin activity	GO:0004291
tissue kallikrein activity	GO:0004293
tripeptidyl-peptidase II activity	GO:0004294
trypsin activity	GO:0004295
T-plasminogen activator activity	GO:0004296
U-plasminogen activator activity	GO:0004297
threonine endopeptidase activity	GO:0004298
enoyl-CoA hydratase activity	GO:0004300
epoxide hydrolase activity	GO:0004301
estradiol 17 beta-dehydrogenase activity	GO:0004303
estrone sulfotransferase activity	GO:0004304
ethanolamine kinase activity	GO:0004305
ethanolamine-phosphate cytidylyltransferase activity	GO:0004306
ethanolaminephosphotransferase activity	GO:0004307
exo-alpha-sialidase activity	GO:0004308
exopolyphosphatase activity	GO:0004309
farnesyl-diphosphate farnesyltransferase activity	GO:0004310
farnesyltranstransferase activity	GO:0004311
fatty-acid synthase activity	GO:0004312
[acyl-carrier protein] S-acetyltransferase activity	GO:0004313
[acyl-carrier protein] S-malonyltransferase activity	GO:0004314
3-oxoacyl-[acyl-carrier protein] synthase activity	GO:0004315
3-oxoacyl-[acyl-carrier protein] reductase activity	GO:0004316
3-hydroxypalmitoyl-[acyl-carrier protein] dehydratase activity	GO:0004317
enoyl-[acyl-carrier protein] reductase (NADH) activity	GO:0004318
enoyl-[acyl-carrier protein] reductase (NADPH\, B-specific) activity	GO:0004319
oleoyl-[acyl-carrier protein] hydrolase activity	GO:0004320
fatty-acyl-CoA synthase activity	GO:0004321
ferroxidase activity	GO:0004322
multicopper ferroxidase iron transport mediator activity	GO:0004323
ferredoxin-NADP reductase activity	GO:0004324
ferrochelatase activity	GO:0004325
folylpolyglutamate synthase activity	GO:0004326
formaldehyde dehydrogenase (glutathione) activity	GO:0004327
formamidase activity	GO:0004328
formate-tetrahydrofolate ligase activity	GO:0004329
fructose-2\,6-bisphosphate 2-phosphatase activity	GO:0004331
fructose-bisphosphate aldolase activity	GO:0004332
fumarate hydratase activity	GO:0004333
fumarylacetoacetase activity	GO:0004334
galactokinase activity	GO:0004335
galactosylceramidase activity	GO:0004336
geranyltranstransferase activity	GO:0004337
glucan 1\,3-beta-glucosidase activity	GO:0004338
glucan 1\,4-alpha-glucosidase activity	GO:0004339
glucokinase activity	GO:0004340
gluconolactonase activity	GO:0004341
glucosamine-6-phosphate deaminase activity	GO:0004342
glucosamine-phosphate N-acetyltransferase activity	GO:0004343
glucose dehydrogenase (acceptor) activity	GO:0004344
glucose-6-phosphate 1-dehydrogenase activity	GO:0004345
glucose-6-phosphatase activity	GO:0004346
glucose-6-phosphate isomerase activity	GO:0004347
glucosylceramidase activity	GO:0004348
glutamate 5-kinase activity	GO:0004349
glutamate-5-semialdehyde dehydrogenase activity	GO:0004350
glutamate decarboxylase activity	GO:0004351
glutamate dehydrogenase activity	GO:0004352
glutamate dehydrogenase (NAD(P)+) activity	GO:0004353
glutamate dehydrogenase (NADP+) activity	GO:0004354
glutamate synthase (NADPH) activity	GO:0004355
glutamate-ammonia ligase activity	GO:0004356
glutamate-cysteine ligase activity	GO:0004357
glutamate N-acetyltransferase activity	GO:0004358
glutaminase activity	GO:0004359
glucosamine-fructose-6-phosphate aminotransferase (isomerizing) activity	GO:0004360
glutaryl-CoA dehydrogenase activity	GO:0004361
glutathione reductase (NADPH) activity	GO:0004362
glutathione synthase activity	GO:0004363
glutathione transferase activity	GO:0004364
glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) activity	GO:0004365
glycerol-3-phosphate O-acyltransferase activity	GO:0004366
glycerol-3-phosphate dehydrogenase (NAD+) activity	GO:0004367
glycerol-3-phosphate dehydrogenase activity	GO:0004368
glycerol-3-phosphate oxidase activity	GO:0004369
glycerol kinase activity	GO:0004370
glycerone kinase activity	GO:0004371
glycine hydroxymethyltransferase activity	GO:0004372
glycogen (starch) synthase activity	GO:0004373
glycine dehydrogenase (decarboxylating) activity	GO:0004375
glycolipid mannosyltransferase activity	GO:0004376
glycolipid 2-alpha-mannosyltransferase activity	GO:0004377
glycolipid 3-alpha-mannosyltransferase activity	GO:0004378
glycyl-peptide N-tetradecanoyltransferase activity	GO:0004379
glycoprotein-fucosylgalactoside alpha-N-acetylgalactosaminyltransferase activity	GO:0004380
glycoprotein-fucosylgalactoside alpha-galactosyltransferase activity	GO:0004381
guanosine diphosphatase activity	GO:0004382
guanylate cyclase activity	GO:0004383
guanylate kinase activity	GO:0004385
helicase activity	GO:0004386
heme oxygenase (decyclizing) activity	GO:0004392
heparin N-deacetylase/N-sulfotransferase activity	GO:0004393
heparin-sulfate 2-sulfotransferase activity	GO:0004394
hexaprenyldihydroxybenzoate methyltransferase activity	GO:0004395
hexokinase activity	GO:0004396
histidine ammonia-lyase activity	GO:0004397
histidine decarboxylase activity	GO:0004398
histidinol dehydrogenase activity	GO:0004399
histidinol-phosphate aminotransferase activity	GO:0004400
histidinol-phosphatase activity	GO:0004401
histone acetyltransferase activity	GO:0004402
H2A/H2B histone acetyltransferase activity	GO:0004405
H3/H4 histone acetyltransferase activity	GO:0004406
histone deacetylase activity	GO:0004407
holocytochrome c synthase activity	GO:0004408
homoaconitate hydratase activity	GO:0004409
homocitrate synthase activity	GO:0004410
homogentisate 1\,2-dioxygenase activity	GO:0004411
homoserine dehydrogenase activity	GO:0004412
homoserine kinase activity	GO:0004413
homoserine O-acetyltransferase activity	GO:0004414
hyaluronoglucosaminidase activity	GO:0004415
hydroxyacylglutathione hydrolase activity	GO:0004416
hydroxyethylthiazole kinase activity	GO:0004417
hydroxymethylbilane synthase activity	GO:0004418
hydroxymethylglutaryl-CoA lyase activity	GO:0004419
hydroxymethylglutaryl-CoA reductase (NADPH) activity	GO:0004420
hydroxymethylglutaryl-CoA synthase activity	GO:0004421
hypoxanthine phosphoribosyltransferase activity	GO:0004422
iduronate-2-sulfatase activity	GO:0004423
imidazoleglycerol-phosphate dehydratase activity	GO:0004424
indole-3-glycerol-phosphate synthase activity	GO:0004425
indoleamine-pyrrole 2\,3-dioxygenase activity	GO:0004426
inorganic diphosphatase activity	GO:0004427
inositol/phosphatidylinositol kinase activity	GO:0004428
1-phosphatidylinositol 4-kinase activity	GO:0004430
inositol/phosphatidylinositol phosphodiesterase activity	GO:0004434
1-phosphatidylinositol-4\,5-bisphosphate phosphodiesterase activity	GO:0004435
1-phosphatidylinositol phosphodiesterase activity	GO:0004436
inositol/phosphatidylinositol phosphatase activity	GO:0004437
phosphatidylinositol-3-phosphatase activity	GO:0004438
phosphatidylinositol-bisphosphatase activity	GO:0004439
inositol-1\,4-bisphosphate 1-phosphatase activity	GO:0004441
inositol-1\,4\,5-trisphosphate 5-phosphatase activity	GO:0004445
inositol-1\,3\,4\,5-tetrakisphosphate 3-phosphatase activity	GO:0004446
iodide peroxidase activity	GO:0004447
isocitrate dehydrogenase activity	GO:0004448
isocitrate dehydrogenase (NAD+) activity	GO:0004449
isocitrate dehydrogenase (NADP+) activity	GO:0004450
isocitrate lyase activity	GO:0004451
isopentenyl-diphosphate delta-isomerase activity	GO:0004452
juvenile hormone esterase activity	GO:0004453
ketohexokinase activity	GO:0004454
ketol-acid reductoisomerase activity	GO:0004455
ketopantoaldase activity	GO:0004456
lactate dehydrogenase activity	GO:0004457
D-lactate dehydrogenase (cytochrome) activity	GO:0004458
L-lactate dehydrogenase activity	GO:0004459
L-lactate dehydrogenase (cytochrome) activity	GO:0004460
lactose synthase activity	GO:0004461
lactoylglutathione lyase activity	GO:0004462
leukotriene-A4 hydrolase activity	GO:0004463
leukotriene-C4 synthase activity	GO:0004464
lipoprotein lipase activity	GO:0004465
long-chain acyl-CoA dehydrogenase activity	GO:0004466
long-chain-fatty-acid-CoA-ligase activity	GO:0004467
lysine acetyltransferase activity	GO:0004468
lysophosphatidate acyltransferase activity	GO:0004469
malic enzyme activity	GO:0004470
malate dehydrogenase (decarboxylating) activity	GO:0004471
malate dehydrogenase (oxaloacetate decarboxylating) (NADP+) activity	GO:0004473
malate synthase activity	GO:0004474
mannose-1-phosphate guanylyltransferase activity	GO:0004475
mannose-6-phosphate isomerase activity	GO:0004476
methenyltetrahydrofolate cyclohydrolase activity	GO:0004477
methionine adenosyltransferase activity	GO:0004478
methionyl-tRNA formyltransferase activity	GO:0004479
methylene-fatty-acyl-phospholipid synthase activity	GO:0004481
mRNA (guanine-N7)-methyltransferase activity	GO:0004482
mRNA (nucleoside-2'-O-)-methyltransferase activity	GO:0004483
mRNA guanylyltransferase activity	GO:0004484
methylcrotonyl-CoA carboxylase activity	GO:0004485
methylenetetrahydrofolate dehydrogenase activity	GO:0004486
methylenetetrahydrofolate dehydrogenase (NAD+) activity	GO:0004487
methylenetetrahydrofolate dehydrogenase (NADP+) activity	GO:0004488
methylenetetrahydrofolate reductase (NADPH) activity	GO:0004489
methylglutaconyl-CoA hydratase activity	GO:0004490
methylmalonate-semialdehyde dehydrogenase (acylating) activity	GO:0004491
methylmalonyl-CoA decarboxylase activity	GO:0004492
methylmalonyl-CoA epimerase activity	GO:0004493
methylmalonyl-CoA mutase activity	GO:0004494
mevaldate reductase activity	GO:0004495
mevalonate kinase activity	GO:0004496
monooxygenase activity	GO:0004497
calcidiol 1-monooxygenase activity	GO:0004498
dimethylaniline monooxygenase (N-oxide forming) activity	GO:0004499
dopamine-beta-monooxygenase activity	GO:0004500
ecdysone 20-monooxygenase activity	GO:0004501
kynurenine 3-monooxygenase activity	GO:0004502
monophenol monooxygenase activity	GO:0004503
peptidyl-glycine monooxygenase activity	GO:0004504
phenylalanine 4-monooxygenase activity	GO:0004505
squalene monooxygenase activity	GO:0004506
steroid 11-beta-monooxygenase activity	GO:0004507
steroid 17-alpha-monooxygenase activity	GO:0004508
steroid 21-monooxygenase activity	GO:0004509
tryptophan 5-monooxygenase activity	GO:0004510
tyrosine 3-monooxygenase activity	GO:0004511
inositol-3-phosphate synthase activity	GO:0004512
neolactotetraosylceramide alpha-2\,3-sialyltransferase activity	GO:0004513
nicotinate-nucleotide pyrophosphorylase (carboxylating) activity	GO:0004514
nicotinate-nucleotide adenylyltransferase activity	GO:0004515
nicotinate phosphoribosyltransferase activity	GO:0004516
nitric oxide synthase activity	GO:0004517
nuclease activity	GO:0004518
endonuclease activity	GO:0004519
endodeoxyribonuclease activity	GO:0004520
endoribonuclease activity	GO:0004521
pancreatic ribonuclease activity	GO:0004522
ribonuclease H activity	GO:0004523
ribonuclease H1 activity	GO:0004524
ribonuclease III activity	GO:0004525
ribonuclease P activity	GO:0004526
exonuclease activity	GO:0004527
phosphodiesterase I activity	GO:0004528
exodeoxyribonuclease activity	GO:0004529
deoxyribonuclease I activity	GO:0004530
deoxyribonuclease II activity	GO:0004531
exoribonuclease activity	GO:0004532
exoribonuclease H activity	GO:0004533
5'-3' exoribonuclease activity	GO:0004534
poly(A)-specific ribonuclease activity	GO:0004535
deoxyribonuclease activity	GO:0004536
caspase-activated deoxyribonuclease activity	GO:0004537
ribonuclease activity	GO:0004540
tRNA-specific ribonuclease activity	GO:0004549
nucleoside-diphosphate kinase activity	GO:0004550
nucleotide pyrophosphatase activity	GO:0004551
octanol dehydrogenase activity	GO:0004552
hydrolase activity\, hydrolyzing O-glycosyl compounds	GO:0004553
alpha\,alpha-trehalase activity	GO:0004555
alpha-amylase activity	GO:0004556
alpha-galactosidase activity	GO:0004557
alpha-glucosidase activity	GO:0004558
alpha-mannosidase activity	GO:0004559
alpha-L-fucosidase activity	GO:0004560
alpha-N-acetylglucosaminidase activity	GO:0004561
beta-N-acetylhexosaminidase activity	GO:0004563
beta-fructofuranosidase activity	GO:0004564
beta-galactosidase activity	GO:0004565
beta-glucuronidase activity	GO:0004566
beta-mannosidase activity	GO:0004567
chitinase activity	GO:0004568
